CASENO,FORM_REPT_NO,rd_inv,milepost,RTE_NBR,lat,lon,MONTH,DAYMTH,WEEKDAY,RDSURF,LIGHT,weather,rur_urb,REPORT,SEVERITY,veh_count,LSHL_TYP,MED_TYPE,RD_LIGHT,RSHL_TYP,RURURB,SURF_TYP,EW_IND,COUNTY,FUNC_CLS,CITY,ROAD_INV,SPD_LIMT,BEGMP,ENDMP,ACSEQ_NB,LSHLDWID,MEDWID,NO_LANES,RSHLDWID,lanewid,rdwy_wid,AADT,mvmt,deg_curv,dir_grad,pct_grad
2015013048,E416685,303,1.98,303,47.6240039457,-122.6289157668,4,15,3,1.0,1.0,01,U,1,1,2,C,,Y,C,U,A,W,18.0,53.0,115.0,303,55.0,1.91,2.03,2,0,0,4,0,11,44,34860.0,1.53,0.0,+,3.6
2015013049,E416686,303,0.29,303,47.6488788977,-122.6333332932,4,16,4,1.0,1.0,01,U,1,1,2,C,,Y,C,U,A,W,18.0,53.0,115.0,303,55.0,0.25,0.29,2,0,0,4,0,12,46,13259.0,0.19,0.0,+,2.55
201501305,E392373,005,142.18,5,47.7870018292,-122.6513645484,1,15,4,1.0,4.0,01,U,1,1,2,A,S,,A,U,P,W,17.0,51.0,443.0,005,60.0,142.12,142.23,30,10,84,8,10,12,96,136803.0,5.49,0.0,+,2.6
2015013050,E416883,303,4.11,303,47.6455820315,-122.62936779430001,4,16,4,1.0,1.0,01,U,2,7,3,,A,N,A,U,A,W,18.0,53.0,,303,55.0,4.11,4.16,2,0,11,4,7,11,44,34348.0,0.63,0.0,-,5.34
2015013051,E416884,303,5.89,303,47.6503995926,-122.6499546165,4,15,3,1.0,1.0,01,U,1,1,2,A,,,A,U,A,W,18.0,52.0,,303,55.0,5.86,5.9,2,10,0,4,10,15,60,29689.0,0.43,0.0,-,3.2
2015013052,E416885,003,54.76,3,47.528236687299994,-122.67843184969999,3,26,4,1.0,1.0,01,R,2,5,2,A,,,A,R,A,W,18.0,43.0,,003,60.0,54.65,54.89,0,6,0,2,6,12,24,23612.0,2.07,0.0,-,1.3
2015013053,E416889,303,5.59,303,46.901982589300005,-120.4531200326,4,16,4,1.0,1.0,01,U,1,1,2,A,,,A,U,A,W,18.0,53.0,,303,55.0,5.57,5.59,2,8,0,4,8,15,60,30147.0,0.22,5.73,-,3.2
2015013054,E416881,303,6.71,303,46.8626169026,-120.3985876734,4,14,2,2.0,1.0,03,U,1,1,2,,A,Y,A,U,A,W,18.0,52.0,,303,55.0,6.66,6.82,2,0,12,4,8,12,48,29689.0,1.73,0.19,-,3.2
2015013055,E416887,016,25.829999999999995,16,46.5320019153,-122.71786892850001,4,10,5,1.0,6.0,01,U,1,1,2,A,S,,A,U,A,W,18.0,52.0,,016,60.0,25.829999999999995,26.02,10,4,300,4,8,12,48,56128.0,3.89,0.0,-,4.9
2015013057,E416609,082,6.0,82,46.576800792,-122.6929048966,4,12,7,1.0,1.0,01,R,1,1,1,A,S,,A,R,P,E,19.0,41.0,,082,70.0,5.91,6.4,0,4,80,4,10,12,48,17731.0,3.17,1.04,+,5.0
