,CASENO,FORM_REPT_NO,rd_inv,milepost,RTE_NBR,lat,lon,MONTH,DAYMTH,WEEKDAY,RDSURF,LIGHT,weather,rur_urb,REPORT,SEVERITY,veh_count,LSHL_TYP,MED_TYPE,RD_LIGHT,RSHL_TYP,RURURB,SURF_TYP,EW_IND,COUNTY,FUNC_CLS,CITY,ROAD_INV,SPD_LIMT,BEGMP,ENDMP,ACSEQ_NB,LSHLDWID,MEDWID,NO_LANES,RSHLDWID,lanewid,rdwy_wid,AADT,mvmt,deg_curv,dir_grad,pct_grad
7701,201408426,E315153,508,28.2,508,47.378901155600005,-122.6435181943,3,7,5,2.0,6.0,03,R,1,0,1,A,,N,A,R,B,W,21.0,45.0,,508,,27.18,28.31,0,3,0,2,3,11,22,1014.0,0.42,14.01,+,1.3
7702,201408427,E314380,003,26.75,3,47.08185428149999,-122.187126785,3,5,3,8.0,1.0,01,R,1,1,2,A,,,A,R,A,W,23.0,43.0,,003,40.0,26.63,26.75,0,3,0,2,3,12,24,13648.0,0.6,4.0,+,5.0
7703,201408429,E312329,003,0.96,3,46.9366665252,-122.55519787600001,3,5,3,7.0,3.0,03,U,2,6,2,A,,,A,U,A,W,23.0,53.0,,003,40.0,0.94,1.14,0,3,0,2,5,12,24,12023.0,0.88,3.13,+,0.0
7704,201408430,E313903,410,6.55,410,47.1957987857,-122.2171548165,3,6,4,2.0,4.0,01,U,1,1,2,,A,,A,U,A,W,27.0,53.0,105.0,410,40.0,6.52,6.55,5,0,12,5,8,12,60,27465.0,0.3,0.0,-,0.75
7705,201408431,E312203,410,6.55,410,47.1913337329,-122.2293769693,3,5,3,2.0,1.0,03,U,1,1,2,,A,Y,A,U,A,W,27.0,53.0,105.0,410,40.0,6.55,6.560000000000001,5,0,12,5,8,12,60,27465.0,0.1,0.0,-,0.75
7707,201408434,E312449,302,15.85,302,47.2044931534,-122.46385433540001,3,6,4,2.0,1.0,03,U,2,7,3,A,,Y,A,U,A,W,27.0,53.0,,302,,15.85,15.870000000000005,0,11,0,2,5,18,36,21697.0,0.16,0.0,+,0.13
7708,201408435,E312752,302,14.94,302,47.203187103999994,-122.46094439049999,3,7,5,1.0,1.0,01,U,2,7,2,A,,,A,U,A,W,27.0,53.0,,302,,14.9,14.95,0,3,0,2,3,11,22,15520.0,0.28,0.0,-,5.009999999999999
7709,201408436,E313832,162,8.620000000000001,162,47.0934900437,-122.43496829520001,3,7,5,1.0,6.0,01,U,2,7,2,A,,Y,A,U,A,W,27.0,54.0,,162,,8.59,8.63,0,4,0,2,4,12,24,6497.0,0.09,0.0,-,0.08
7710,201408437,E313390,507,32.47,507,47.239232207200004,-122.4059153667,3,5,3,2.0,1.0,01,U,1,1,3,A,,N,A,U,A,W,27.0,54.0,,507,25.0,32.45,33.46,0,4,0,2,4,11,22,12355.0,4.55,7.0,+,0.0
7711,201408438,E314077,507,31.31,507,47.23086395560001,-122.443412991,3,7,5,1.0,1.0,01,U,2,7,3,A,,N,A,U,A,W,27.0,54.0,,507,25.0,31.28,31.41,0,4,0,2,4,11,22,19956.0,0.95,0.0,-,3.34
7712,201408439,E313388,410,2.18,410,47.2117558277,-122.43397703030001,3,6,4,2.0,1.0,03,U,1,1,2,A,S,,A,U,A,W,27.0,52.0,1270.0,410,55.0,2.16,2.23,5,4,40,4,10,12,48,49885.0,1.27,0.0,-,0.2
7713,201408440,E313396,162,0.1,162,47.2779143006,-122.5159100632,3,6,4,1.0,1.0,01,U,2,7,2,A,,Y,A,U,A,W,27.0,54.0,1270.0,162,,0.08,0.1,0,6,0,2,6,17,33,20830.0,0.15,0.0,+,0.0
7714,201408441,E312623,167,9.03,167,47.191855204,-122.434011541,3,5,3,2.0,4.0,03,U,2,7,3,A,S,,A,U,A,W,27.0,52.0,1270.0,167,60.0,8.9,9.78,2,10,84,4,10,12,48,86789.0,27.88,2.6,-,3.0
7715,201408442,E312698,410,0.07000000000000002,410,47.2227973829,-122.4654444648,3,7,5,1.0,1.0,01,U,2,7,2,A,O,Y,A,U,A,W,27.0,52.0,,410,55.0,0.06,0.09,5,4,350,4,8,12,48,42185.0,0.4600000000000001,5.21,+,2.18
