CASENO,DRV_SEX,DRV_AGE,drassess,spdlimit,surf_typ,contrib1,contrib2,intox,stolen,vehcond1,vehcond2,vehcond3,com_body,cdplaccd,vehno
201400101,1.0,48.0,,35.0,2.0,18,0,4.0,,12,0,0,,,2
201400102,1.0,49.0,,,1.0,23,0,4.0,,12,0,0,,,1
201400102,2.0,31.0,,,1.0,18,0,4.0,,12,0,0,,,2
201400103,2.0,28.0,,60.0,1.0,4,0,4.0,,12,0,0,,,1
201400103,1.0,40.0,,60.0,1.0,18,0,4.0,,12,0,0,,,2
201400104,2.0,77.0,,55.0,2.0,20,5,4.0,,12,0,0,,,1
201400104,1.0,65.0,,55.0,2.0,18,0,4.0,,12,0,0,,,2
201400106,2.0,45.0,,60.0,1.0,40,0,4.0,,12,0,0,,,1
201400106,1.0,34.0,,60.0,1.0,18,0,4.0,,12,0,0,,,2
201400106,,,,,,0,0,,,0,0,0,,,3
201400107,1.0,25.0,,60.0,1.0,7,0,4.0,,12,0,0,,,1
201400107,1.0,43.0,,60.0,1.0,18,0,4.0,,12,0,0,2.0,F,2
201400109,2.0,28.0,,60.0,1.0,18,0,4.0,,12,0,0,,,1
201400109,,,,,,0,0,,,0,0,0,,,2
201400110,1.0,23.0,,35.0,1.0,23,4,4.0,,12,0,0,,,1
201400110,1.0,60.0,,35.0,1.0,18,0,4.0,,12,0,0,,,2
201400110,1.0,67.0,,,1.0,18,0,4.0,,12,0,0,,,3
201400112,1.0,53.0,,40.0,2.0,18,0,4.0,,12,0,0,,,1
201400112,2.0,26.0,,40.0,2.0,18,0,4.0,,12,0,0,,,2
201400114,1.0,27.0,,55.0,2.0,1,4,1.0,,12,0,0,,,1
201400115,2.0,40.0,,35.0,2.0,7,23,4.0,,12,0,0,,,1
201400115,1.0,44.0,,35.0,2.0,18,0,4.0,,12,0,0,,,2
201400116,1.0,53.0,,60.0,2.0,5,0,4.0,,12,0,0,,,1
201400116,1.0,61.0,,60.0,2.0,18,0,4.0,,12,0,0,,,2
201400117,2.0,61.0,,60.0,2.0,23,5,4.0,,12,0,0,,,1
201400117,1.0,51.0,,60.0,2.0,52,0,4.0,,12,0,0,,,2
201400118,1.0,33.0,,60.0,1.0,1,0,1.0,,12,0,0,,,1
201400118,,,,,,0,0,,,0,0,0,,,2
201400120,2.0,23.0,9.0,55.0,2.0,1,0,1.0,,12,0,0,,,1
201400121,1.0,20.0,,55.0,2.0,4,0,2.0,,12,0,0,,,1
201400122,2.0,31.0,,55.0,2.0,4,0,4.0,,12,0,0,,,1
201400123,1.0,21.0,,55.0,2.0,1,11,1.0,,12,0,0,,,1
201400123,2.0,51.0,,35.0,2.0,18,0,2.0,,12,0,0,,,2
201400124,1.0,21.0,,60.0,2.0,1,23,1.0,,12,0,0,,,1
201400124,,,,,,0,0,,,0,0,0,,,2
201400125,2.0,20.0,,60.0,1.0,23,7,4.0,,12,0,0,,,1
201400125,2.0,60.0,,60.0,1.0,18,0,4.0,,12,0,0,,,2
201400128,1.0,53.0,,35.0,2.0,23,0,4.0,,12,0,0,,,1
201400128,,,,,,0,0,,,0,0,0,,,2
201400129,1.0,64.0,,35.0,2.0,23,0,4.0,,12,0,0,,,1
201400129,1.0,48.0,,35.0,2.0,18,0,4.0,,12,0,0,,,2
201400130,,,,35.0,2.0,17,0,9.0,,12,0,0,,,1
201400130,,,,,,0,0,,,0,0,0,,,2
201400131,1.0,37.0,,45.0,2.0,23,0,4.0,,12,0,0,,,1
201400131,2.0,24.0,,45.0,2.0,18,0,4.0,,12,0,0,,,2
